t;Vin;Vout RC1;Vout RC2;Vout RC3
0.0;1.0;0.0;0.0;0.0
0.3448275862068966;1.0;0.08259558091264164;0.2916575160542206;0.7482478936750815
0.6896551724137931;1.0;0.15836914953247677;0.49825093152685834;0.9366208914139488
1.0344827586206897;-1.0;0.21071675947918134;0.5767997366096321;0.7263617098641661
1.3793103448275863;-1.0;0.11071688315380421;0.11691423288517686;-0.5653847884479078
1.7241379310344829;-1.0;0.018976564592563507;-0.2088421970615674;-0.8905846943520327
2.0689655172413794;1.0;-0.030999223890595572;-0.30630706652650846;-0.49028967385167094
2.413793103448276;1.0;0.05415677347515374;0.0746872222134068;0.6248164330371883
2.7586206896551726;1.0;0.1322792559945772;0.3445616675645825;0.9055467409423646
3.1034482758620694;-1.0;0.15288808877699728;0.33917052595555963;0.2984966371206994
3.4482758620689657;-1.0;0.05766460972155069;-0.05140864043734516;-0.6731007421688427
3.793103448275862;-1.0;-0.029693827259014514;-0.32807245859783046;-0.917702412288145
4.137931034482759;1.0;-0.04204680924147516;-0.26636269637741045;-0.13119324250158027
4.482758620689656;1.0;0.04402166990072751;0.10298150431245251;0.7152197277552292
4.827586206896552;1.0;0.12298126681101774;0.36460371118279294;0.9283059550495318
5.172413793103448;-1.0;0.11104368616997455;0.23318346442456703;-0.014551042539749292
5.517241379310345;-1.0;0.01927637114632043;-0.1264837564538921;-0.751911167397373
5.862068965517242;-1.0;-0.06491136813544579;-0.38125135603365534;-0.9375431182621247
6.206896551724139;1.0;-0.04132714888583377;-0.18792156099454324;0.14151747880377014
6.551724137931035;1.0;0.04468188830776412;0.15854468438917002;0.7838752018873769
6.8965517241379315;1.0;0.12358695435555768;0.4039614549156879;0.9455901188115269
7.241379310344828;-1.0;0.07885444117613293;0.14888780331605522;-0.2521254017540668
7.586206896551724;-1.0;-0.010254184618546009;-0.1861939577441637;-0.8117210078955276
7.931034482758621;-1.0;-0.0920028274152421;-0.4235466337320331;-0.952600358243645
8.275862068965518;1.0;-0.03371707851469696;-0.10950876736601974;0.34848250404143766
8.620689655172415;1.0;0.05166339986338577;0.21408782328368048;0.8359790844449492
8.965517241379311;1.0;0.12999182676588364;0.44330502992180476;0.9587073822316153
9.310344827586208;-1.0;0.05254517199792113;0.07205748823775592;-0.43242477932899626
9.655172413793103;-1.0;-0.034390421689897685;-0.24061615532918157;-0.8571117564759786
10.0;1.0;-0.11414546975323939;-0.46209617433646;-0.9640275712061223
